year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,0
1894,-0,0
1895,-0,0
1896,-0,0
1897,-0,0
1898,-0,0
1899,-0,0
1900,-0,0
1901,-0,0
1902,-0,0
1903,-0,0
1904,-0,0
1905,-0,0
1906,-0,0
1907,-0,0
1908,-0,0
1909,-0,0
1910,-0,0
1911,-0,0
1912,-0,0
1913,-0,0
1914,-0,0
1915,-0,0
1916,-0,0
1917,-0,0
1918,-1307,1454
1919,-0,0
1920,-0,0
1921,-0,0
1922,-0,2252
1923,-0,0
1924,-862,3963
1925,-238,943
1926,-163,2051
1927,-846,3578
1928,-0,0
1929,-0,0
1930,-0,0
1931,-0,0
