year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,387
1892,-59,1504
1893,-1872,3081
1894,-46,2341
1895,-759,2544
1896,-1871,6813
1897,-6026,4176
1898,-1888,2151
1899,-1521,1078
1900,-1850,1799
1901,-8898,7677
1902,-6368,4722
1903,-9741,9661
1904,-9759,11073
1905,-8905,6148
1906,-5651,3406
1907,-7334,7409
1908,-1580,1363
1909,-3179,4696
1910,-6321,4572
1911,-321,375
1912,-1474,1613
1913,-5151,2163
1914,-1691,1521
1915,-753,915
1916,-0,0
1917,-0,0
1918,-1815,1330
1919,-0,0
1920,-0,0
1921,-1062,634
1922,-853,799
1923,-0,0
1924,-0,0
1925,-0,0
1926,-0,0
1927,-0,0
1928,-0,0
1929,-0,0
1930,-2564,3001
1931,-929,805
