year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,0
1894,-0,0
1895,-0,0
1896,-0,0
1897,-0,0
1898,-0,920
1899,-0,0
1900,-0,582
1901,-0,0
1902,-0,0
1903,-0,0
1904,-0,0
1905,-0,0
1906,-0,1838
1907,-1551,2878
1908,-0,0
1909,-0,0
1910,-0,2488
1911,-625,1610
1912,-866,1335
1913,-475,1299
1914,-0,0
1915,-0,0
1916,-0,0
1917,-0,0
1918,-0,0
1919,-0,0
1920,-0,0
1921,-1469,1117
1922,-0,1034
1923,-0,0
1924,-0,0
1925,-1064,2127
1926,-2193,2184
1927,-631,0
1928,-0,0
1929,-0,0
1930,-0,0
1931,-0,0
