year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,398
1892,-0,0
1893,-0,0
1894,-0,1392
1895,-0,671
1896,-0,512
1897,-0,906
1898,-0,783
1899,-0,556
1900,-0,133
1901,-0,0
1902,-0,0
1903,-0,0
1904,-0,581
1905,-0,786
1906,-0,56
1907,-0,2522
1908,-0,2535
1909,-0,1076
1910,-0,1195
1911,-0,1394
1912,-0,0
1913,-0,0
1914,-0,0
1915,-0,0
1916,-0,0
1917,-0,0
1918,-0,0
1919,-0,0
1920,-0,0
1921,-0,0
1922,-0,0
1923,-0,0
1924,-0,0
1925,-0,0
1926,-0,0
1927,-0,0
1928,-0,0
1929,-0,0
1930,-0,0
1931,-0,0
