year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-4384,7428
1892,-10590,14152
1893,-9586,13018
1894,-2663,2984
1895,-12487,7359
1896,-7795,11851
1897,-16809,14544
1898,-13522,14975
1899,-9830,15023
1900,-9210,9424
1901,-3263,6670
1902,-6580,11606
1903,-9621,11014
1904,-21365,20369
1905,-4346,4301
1906,-7341,5614
1907,-2891,10434
1908,-4522,11761
1909,-816,5809
1910,-7448,12155
1911,-828,4578
1912,-1296,8042
1913,-0,2183
1914,-1969,5642
1915,-0,1681
1916,-1782,1369
1917,-0,2786
1918,-0,3170
1919,-3118,6390
1920,-0,5625
1921,-0,1377
1922,-0,1670
1923,-491,1775
1924,-1371,1801
1925,-3483,2505
1926,-1277,1912
1927,-603,1755
1928,-3109,3461
1929,-1738,7331
1930,-0,2040
1931,-291,2972
