year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,107
1894,-0,2236
1895,-0,1757
1896,-465,1281
1897,-0,229
1898,-0,719
1899,-0,0
1900,-0,0
1901,-0,0
1902,-0,0
1903,-0,0
1904,-0,191
1905,-0,0
1906,-0,0
1907,-0,0
1908,-0,0
1909,-0,471
1910,-0,0
1911,-0,0
1912,-0,1997
1913,-1867,7619
1914,-0,0
1915,-0,0
1916,-0,0
1917,-0,0
1918,-0,0
1919,-1664,1405
1920,-0,0
1921,-0,0
1922,-0,0
1923,-0,0
1924,-0,0
1925,-0,0
1926,-0,0
1927,-0,0
1928,-0,0
1929,-0,0
1930,-0,0
1931,-0,0
