year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,0
1894,-0,0
1895,-0,0
1896,-0,0
1897,-0,0
1898,-0,0
1899,-0,0
1900,-0,0
1901,-0,0
1902,-0,0
1903,-0,0
1904,-0,0
1905,-0,0
1906,-0,0
1907,-0,0
1908,-0,0
1909,-1028,313
1910,-745,1003
1911,-1218,3439
1912,-103,0
1913,-1829,5147
1914,-0,0
1915,-3956,9348
1916,-3526,10831
1917,-2657,14345
1918,-4322,17967
1919,-1418,5417
1920,-3698,7213
1921,-1435,0
1922,-0,568
1923,-0,0
1924,-0,0
1925,-0,0
1926,-0,0
1927,-940,8533
1928,-1652,2730
1929,-1740,4078
1930,-580,2149
1931,-0,0
