year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-2660,6738
1892,-1401,10862
1893,-5349,10386
1894,-1045,6577
1895,-265,15959
1896,-772,12018
1897,-1391,13828
1898,-983,3264
1899,-2163,10440
1900,-60,6132
1901,-2839,6315
1902,-6379,11709
1903,-15015,30226
1904,-2092,5878
1905,-5642,3931
1906,-12760,32735
1907,-4024,27124
1908,-3178,6287
1909,-0,5879
1910,-1391,3695
1911,-2583,9325
1912,-0,5462
1913,-0,676
1914,-0,1511
1915,-132,0
1916,-0,592
1917,-503,852
1918,-0,0
1919,-79,1046
1920,-0,0
1921,-0,1842
1922,-0,1726
1923,-1393,693
1924,-0,381
1925,-923,336
1926,-0,607
1927,-1445,810
1928,-703,575
1929,-2652,1595
1930,-0,920
1931,-586,50
