"Textsorte","Anzahl"
Bild,4
Fotografie,3
Brief,204
Karte,106
Bildpostkarte,38
Postkarte,25
Briefkarte,36
Visitenkarte,6
Kartenbrief,21
Telegramm,5
Widmung,22
