"Textsorte","Anzahl"
Anderes,0
Bild,0
Fotografie,3
Brief,249
Briefentwurf,0
Karte,20
Postkarte,43
Bildpostkarte,64
Briefkarte,22
Visitenkarte,8
Kartenbrief,11
Telegramm,3
Telegrammentwurf,0
Umschlag,0
Widmung,0
Widmung Umschlag,0
Widmung Vorsatzblatt,11
Widmung Schmutztitel,9
Widmung Vortitel,0
Widmung Titelblatt,11
