year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1888,0,0
1889,0,0
1890,0,0
1891,0,2
1892,0,1
1893,0,0
1894,0,0
1895,0,1
1896,0,4
1897,0,0
1898,0,1
1899,3,3
1900,0,0
1901,0,2
1902,2,5
1903,2,1
1904,2,2
1905,4,6
1906,2,9
1907,0,9
1908,0,7
1909,1,2
1910,0,5
1911,0,3
1912,0,14
1913,0,6
1914,0,6
1915,0,6
1916,0,3
1917,0,5
1918,0,3
1919,0,0
1920,0,1
1921,0,3
1922,4,5
1923,0,4
1924,0,1
1925,0,3
1926,0,3
1927,0,2
1928,0,3
1929,1,6
1930,0,0
1931,0,0
