year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,1,1
1895,0,1
1896,0,2
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,5,0
1903,1,0
1904,1,3
1905,0,1
1906,0,0
1907,1,0
1908,3,1
1909,1,0
1910,0,1
1911,0,3
1912,2,1
1913,1,0
1914,0,0
1915,0,0
1916,0,0
1917,0,2
1918,0,0
1919,0,1
1920,1,0
1921,0,0
1922,0,3
1923,0,1
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,1
1931,0,0
