year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1888,0,0
1889,0,0
1890,0,0
1891,1,14
1892,8,25
1893,12,14
1894,10,30
1895,9,31
1896,19,10
1897,19,13
1898,15,5
1899,8,1
1900,9,3
1901,28,9
1902,17,7
1903,34,20
1904,30,24
1905,23,17
1906,14,16
1907,21,11
1908,12,7
1909,16,15
1910,11,9
1911,4,11
1912,9,9
1913,10,8
1914,4,5
1915,2,3
1916,0,16
1917,0,6
1918,5,21
1919,0,6
1920,0,1
1921,4,2
1922,3,9
1923,0,5
1924,0,3
1925,0,0
1926,0,0
1927,0,1
1928,0,1
1929,0,1
1930,4,0
1931,2,4
