year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-3,7
1892,-4,16
1893,-6,12
1894,-3,16
1895,-1,22
1896,-2,15
1897,-3,19
1898,-3,9
1899,-3,18
1900,-0,10
1901,-7,8
1902,-8,20
1903,-11,20
1904,-4,16
1905,-7,9
1906,-5,24
1907,-4,15
1908,-4,9
1909,-0,11
1910,-3,1
1911,-2,1
1912,-0,0
1913,-0,0
1914,-0,0
1915,-0,0
1916,-0,0
1917,-1,0
1918,-0,0
1919,-0,0
1920,-0,0
1921,-0,1
1922,-0,0
1923,-2,0
1924,-0,0
1925,-1,2
1926,-0,0
1927,-2,0
1928,-1,2
1929,-2,0
1930,-0,0
1931,-1,1
