year,"von Schnitzler","an Schnitzler"
1888,-0,1
1889,-0,8
1890,-0,6
1891,-0,20
1892,-0,9
1893,-0,24
1894,-1,27
1895,-0,38
1896,-3,36
1897,-0,39
1898,-0,31
1899,-1,39
1900,-2,47
1901,-0,48
1902,-0,46
1903,-0,33
1904,-0,20
1905,-0,8
1906,-0,13
1907,-1,8
1908,-0,8
1909,-0,5
1910,-0,4
1911,-1,4
1912,-0,0
1913,-0,0
1914,-0,0
1915,-0,1
1916,-0,0
1917,-0,0
1918,-0,0
1919,-0,0
1920,-0,0
1921,-0,0
1922,-0,0
1923,-0,0
1924,-0,0
1925,-1,4
1926,-0,0
1927,-1,3
1928,-0,1
1929,-0,0
1930,-0,1
1931,-0,3
