year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1888,1,0
1889,8,30
1890,6,36
1891,20,9
1892,9,4
1893,24,4
1894,28,14
1895,38,18
1896,39,7
1897,39,35
1898,31,1
1899,40,15
1900,51,15
1901,56,15
1902,50,22
1903,34,34
1904,20,12
1905,8,5
1906,13,11
1907,9,6
1908,8,9
1909,5,5
1910,4,11
1911,5,17
1912,0,4
1913,0,5
1914,0,1
1915,1,4
1916,0,1
1917,0,0
1918,0,1
1919,0,0
1920,0,3
1921,0,4
1922,0,0
1923,0,1
1924,0,0
1925,5,4
1926,0,2
1927,4,4
1928,1,4
1929,0,1
1930,1,4
1931,3,1
